Range_index_row	Range_index_col	Domain_index_row	Domain_index_col	contrast	brightness	best_rms	isEdge
0	0	15	8	-7.37205024908594e-05	160.01150039838856	160.04030455521595	False
0	4	24	10	0.000560230101494757	157.4967310968106	6.6133630234256096	False
0	8	15	7	0.00026447958965590936	154.86836105228392	154.91696805919173	False
0	12	24	10	-0.0006716756893611635	155.46841777117672	155.29695948676832	False
0	16	24	10	-0.0016567029874625238	168.17276533681192	12.877967315222838	False
0	20	24	18	0.0023383354196562147	166.0944417999184	166.9176211217529	False
0	24	4	18	0.006385014632402767	125.91302862643607	138.09362215508617	False
0	28	24	10	-0.0014225110239080958	95.30322982911247	12.820665523194167	False
4	0	24	18	0.0002980642994534852	155.86318900697506	155.88521596095504	False
4	4	4	18	0.00018839683969886292	155.87970100209787	155.8869969059603	False
4	8	24	10	0.0005277209744784416	154.58508979936187	4.42631864615985	False
4	12	24	10	-0.001973101700607578	160.0311303891663	159.9150693568443	False
4	16	24	10	-0.0003890804298128691	167.69706018341446	167.60165505558396	False
4	20	24	10	0.0025840021639084933	161.85055633216248	19.929336574934492	False
4	24	4	18	0.0073844380667419775	119.3173419922672	130.66497113122475	False
4	28	24	10	-0.0009993223670983163	92.33771247108552	92.31488737061919	False
8	0	24	10	-0.0003553910390327304	155.8882708647838	3.3741879418823966	False
8	4	12	6	-9.235795194333343e-05	157.9233140336902	157.92917961554727	False
8	8	8	5	-8.191166943428823e-05	156.01277822043176	156.02286332755892	False
8	12	24	10	-0.0008423966990926797	164.04688715640143	9.184906979370778	False
8	16	15	6	0.0008732024547369706	162.86552682197052	163.0470467569379	False
8	20	4	18	0.0011590501224951783	158.09191545361801	158.3864704743066	False
8	24	24	10	0.008076782139296244	123.25146409430046	59.46342792822253	False
8	28	24	10	-0.001465132964919244	91.68017593114301	91.75216735625624	False
12	0	24	10	-0.00010238958679286029	157.9250636846306	157.8919084810216	False
12	4	15	7	-0.00013350835658156745	159.77063816678825	4.4921046892947505	False
12	8	24	10	-0.0012048514639880316	164.18554712545415	164.01154072357122	False
12	12	4	18	0.0002170659240008638	167.14795589767405	167.16328592572643	False
12	16	24	10	0.0007486567891524302	159.21760347134352	8.151983808435222	False
12	20	23	18	0.0007220712606478796	158.70698284404205	158.83665003480743	False
12	24	4	18	0.0060532723711939	121.41932587373012	132.477372303517	False
12	28	24	10	-0.001734977390375594	91.85153192159555	12.708033652090299	False
16	0	20	18	0.00014273501663969712	160.06892789834657	160.08793271894976	False
16	4	24	10	-0.0006716756893611635	163.65023595299488	163.54011967430355	False
16	8	24	10	0.0010655418719134084	163.50195165230005	13.241247427255649	False
16	12	15	8	0.00038202607394742467	159.12298616643028	159.40300394067228	False
16	16	9	7	-4.914700166057293e-05	159.5531214777136	159.5811998501073	False
16	20	24	10	0.001261227879196084	157.80503519034093	9.4046810684288	False
16	24	4	18	0.008370988917045767	118.07450407041132	132.96335527294204	False
16	28	24	10	-0.0015972775539686204	88.61281166205548	88.87136092300125	False
20	0	19	10	-0.0001574956736033148	161.1076795395445	6.693314328620266	False
20	4	15	5	0.000491176380789546	165.37890429190386	165.61033112648826	False
20	8	15	7	0.0018593948961583427	148.34629803256294	150.53342875085022	False
20	12	24	10	-0.003362643099338108	150.35314191243936	27.399092326680236	False
20	16	4	18	0.0004366012273684853	162.02367250189434	162.0776442721592	False
20	20	4	18	0.0011672412894386073	160.4542739952112	160.74006028349945	False
20	24	24	10	0.00901481248388352	121.43979357019968	66.74626400198832	False
20	28	24	10	-0.0016666412237046988	88.34757183935962	88.43063313803005	False
24	0	24	10	-0.0012122927076274658	165.46184493511717	165.38698105124266	False
24	4	24	10	0.004076581403327483	157.03649512473564	33.1570116987306	False
24	8	15	7	0.0023593258632796997	118.36393654432764	123.84932695938626	False
24	12	24	10	-0.0037474588766186864	149.40278540293434	151.45750990280501	False
24	16	24	10	0.0003831658271631747	164.774102282551	3.8810716136573693	False
24	20	4	18	0.0015281042957896987	161.21921739299384	161.5982142588614	False
24	24	4	18	0.007228704827575936	120.59959477417088	135.64251573086204	False
24	28	24	10	-0.001900363628788694	83.54376454428359	15.745362182484124	False
28	0	24	18	0.0021872042255671235	167.1177160038081	167.96661781475402	False
28	4	4	18	0.0062826250456099065	134.56536503833942	148.4015416786331	False
28	8	24	10	-0.005672053607866072	95.96013828688262	48.19458326054438	False
28	12	24	10	-0.005184639575000764	151.34388904000468	153.49879451631293	False
28	16	4	18	0.00034402901162401055	165.85542238327756	165.89313429197065	False
28	20	24	10	0.0019227728328484845	159.03610469958883	13.988283643898276	False
28	24	4	18	0.00942051109822001	115.91287765451048	133.9760941710347	False
28	28	24	10	-0.001482601216760617	79.41310397163284	79.71609003493913	False
