Range_index	Domain_index	best_rms	isEdge
(0, 0)	(0, 1)	27.34653794486975	False
(0, 4)	(1, 1)	4.778604315851292	False
(0, 8)	(0, 6)	1.3449560790535435	False
(0, 12)	(0, 8)	0.899817157325873	False
(4, 0)	(1, 1)	6.1793208540236915	False
(4, 4)	(2, 1)	0.12365039562208144	False
(4, 8)	(0, 0)	0.0	False
(4, 12)	(0, 0)	0.0	False
(8, 0)	(8, 0)	1.6023188696362822	False
(8, 4)	(0, 0)	0.0	False
(8, 8)	(0, 0)	0.0	False
(8, 12)	(0, 0)	0.0	False
(12, 0)	(6, 0)	0.8911722991848418	False
(12, 4)	(0, 0)	0.0	False
(12, 8)	(0, 0)	0.0	False
(12, 12)	(0, 0)	0.0	False
